0,4,5,8
1,9,11,12
2,14,17,18
3,20,21,23
6,13,15,22
7,10,16,19
,,,
0,9,10,13
1,14,16,17
2,19,22,23
3,5,6,8
11,18,20,7
12,15,21,4
,,,
0,14,15,18
1,19,21,22
2,4,7,8
3,10,11,13
16,23,5,12
17,20,6,9
,,,
0,19,20,23
1,4,6,7
2,9,12,13
3,15,16,18
21,8,10,17
22,5,11,14
